Assignment_Number, Assignment_URL
1,"https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/ODc4ODYwNTA2NVpa/submissions/by-status/and-sort-name/list
"
2,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTAzMzAwNjkzNjRa/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTA1OTY4MjQ4MTha/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTE0NzU5MjAyMjJa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTE2NjI5MzMxMzBa/submissions/by-status/and-sort-name/done
6,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTE3NDE3MjYyMzRa/submissions/by-status/and-sort-name/done
7,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTE5NjE2Mjg1NTNa/submissions/by-status/and-sort-name/done
8,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTIwMDgwODIzMTBa/submissions/by-status/and-sort-name/all
9,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQyOTUxMzU0NTBa/submissions/by-status/and-sort-name/all
10,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NDg3NzEzODFa/submissions/by-status/and-sort-name/all
11,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NDkzNDQ5Nzda/submissions/by-status/and-sort-name/all
12,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTAxOTEzMjha/submissions/by-status/and-sort-name/all
13,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTA4NDQxMDBa/submissions/by-status/and-sort-name/all
14,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTAzNjcwNjda/submissions/by-status/and-sort-name/all
15,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTAzMzI2Mjha/submissions/by-status/and-sort-name/all
16,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTA1OTg4MTJa/submissions/by-status/and-sort-name/all
17,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NDk3Nzg5OTVa/submissions/by-status/and-sort-name/all
18,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NDk5MTczODBa/submissions/by-status/and-sort-name/all
19,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTA1OTg4MTNa/submissions/by-status/and-sort-name/all
20,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ0NTAxMTUxODRa/submissions/by-status/and-sort-name/all
21,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njg1NTExNjBa/submissions/by-status/and-sort-name/all
22,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njg1NjYwNzBa/submissions/by-status/and-sort-name/all
23,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njc5MjcxNzVa/submissions/by-status/and-sort-name/all
24,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njc3MDg0OTha/submissions/by-status/and-sort-name/all
25,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njg0NjE0NjBa/submissions/by-status/and-sort-name/all
26,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1NjgxMzM4MjFa/submissions/by-status/and-sort-name/all
27,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1Njg3MjE5MTNa/submissions/by-status/and-sort-name/all
28,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1NjcxNTM4MjJa/submissions/by-status/and-sort-name/all
29,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTA1OTY3NjA1NDBa/submissions/by-status/and-sort-name/all
30,https://classroom.google.com/c/ODc4NzQxOTc0OFpa/a/MTQ1NjcxNTUyNTla/submissions/by-status/and-sort-name/all
Opt_1,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTE5NTg2Njc2OTNa/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/ODc4NzQxOTc0OFpa/a/MTQ0MzE1NTgxOTBa/submissions/by-status/and-sort-name/list